GLDS-314	Col-0
GLDS-315	None found
GLDS-316	None found
GLDS-317	None found
GLDS-318	Not clear
GLDS-319	Arctic tundra
GLDS-32	C57Bl6J
GLDS-320	None found
GLDS-321	None found
GLDS-323	χ3339
GLDS-324	None found
GLDS-326	C57BL/6J
GLDS-329	Col-0
GLDS-33	C57BL/10J
GLDS-331	None found
GLDS-334	C57BL/6J
GLDS-335	C57BL/6J
GLDS-336	C57BL/6J
GLDS-337	C57BL/6J
GLDS-34	Oregon R
GLDS-340	B6.129-Mlh1tm1Rak
GLDS-342	C57BL/6N
GLDS-343	C57BL/6J
GLDS-344	None found
GLDS-345	C57BL/6N
GLDS-346	Landsberg erecta
GLDS-347	Canton S
GLDS-35	Bristol N2
GLDS-350	Not clear
GLDS-352	BALB/c
GLDS-353	None found
GLDS-354	None found
GLDS-355	None found
GLDS-359	None found
GLDS-36	wild-type Oregon R
GLDS-361	Not clear
GLDS-362	Not clear
GLDS-363	None found
GLDS-364	None found
GLDS-366	Not clear
GLDS-367	None found
GLDS-368	None found
GLDS-369	None found
GLDS-37	Not clear
GLDS-370	None found
GLDS-372	s1 | s10 | s11 | s12 | s13 | s14 | s15 | s16 | s17 | s18 | s19 | s2 | s20 | s21 | s22 | s23 | s24 | s25 | s26 | s27 | s28 | s29 | s3 | s30 | s31 | s32 | s33 | s34 | s35 | s36 | s37 | s38 | s39 | s4 | s40 | s41 | s42 | s43 | s44 | s45 | s46 | s47 | s48 | s49 | s5 | s50 | s51 | s52 | s53 | s54 | s55 | s56 | s57 | s58 | s59 | s6 | s64 | s65 | s7 | s8 | s9
GLDS-373	AB
GLDS-375	None found
GLDS-379	BALB/cAnNTac
GLDS-38	None found
